Player,Role,Price
Akash Singh,Bowler,0.2
Kane Williamson (R),Batsman,3
Abhishek Sharma (R),Batsman,0.55
David Warner (R),Batsman,12.5
Manish Pandey (R),Batsman,11
Priyam Garg,Batsman,1.9
Virat Singh,Batsman,1.9
Jonny Bairstow (R),Wicket Keeper,2.2
Shreevats Goswami (R),Wicket Keeper,1
Wridhhiman Saha (R),Wicket Keeper,1.2
Vijay Shankar (R),All-Rounder,3.2
Mitchell Marsh,All-Rounder,2
Mohammad Nabi (R),All-Rounder,1
Fabian Allen,All-Rounder,0.5
Sandeep Bavanaka,All-Rounder,0.2
Sanjay Yadav,All-Rounder,0.2
Abdul Samad,All-Rounder,0.2
Basil Thampi (R),Bowler,0.95
Bhuvneshwar Kumar (R),Bowler,8.5
Billy Stanlake (R),Bowler,0.5
Rashid Khan (R),Bowler,9
Sandeep Sharma (R),Bowler,3
Shahbaz Nadeem (R),Bowler,3.2
Siddarth Kaul (R),Bowler,3.8
Syed Khaleel Ahmed (R),Bowler,3
T Natarajan (R),Bowler,0.4
